Name;Year;Genres;IMDBRate;MyRate;Voters
Острые предметы;2018;Crime Drama Mystery;8.3;8;19765
Гримм;2011;Drama Fantasy Horror;7.8;5;98247
Tôkyô monogatari;1953;Drama;8.2;7;40228
Семь самураев;1954;Adventure Drama;8.7;8;270060
Hiroshima mon amour;1959;Drama Romance;8;5;23430
Saikaku ichidai onna;1952;Drama;8.2;6;5012
Айрис;2001;Biography Drama Romance;7.1;5;15887
Akasen chitai;1956;Drama;8;8;2973
Тебя никогда здесь не было;2017;Drama Mystery Thriller;6.9;6;44689
Убивая Еву;2018;Drama Thriller;8.4;4;13127
Underworld;1927;Crime Drama Film-Noir;7.7;7;2043
Lonesome;1928;Comedy Drama Romance;8;6;1709
Удача Логана;2017;Comedy Crime Drama;7;7;92428
Аритмия;2017;Drama;7.5;7;2655
Adrift;1993;Thriller;5.4;6;290
Джессика Джонс;2015;Action Crime Drama;8.1;6;160680
Аннигиляция;2018;Adventure Drama Horror;6.9;8;168168
Террор;2018;Adventure Drama History;8.1;7;20428
Ходячие мертвецы;2010;Drama Horror Thriller;8.4;6;750626
Мстители: Война бесконечности;2018;Action Adventure Fantasy;8.6;5;476229
Холостые выстрелы;2010;Comedy Drama Romance;7.3;7;9992
Тихое место;2018;Drama Horror Sci-Fi;7.7;7;202951
Coming Home;1978;Drama Romance War;7.3;8;10738
Смерть Сталина;2017;Comedy Drama History;7.2;9;45862
Чёрная Пантера;2018;Action Adventure Sci-Fi;7.4;7;384138
МакМафия;2018;Crime Drama Thriller;7.7;6;7994
Призрачная нить;2017;Drama Romance;7.6;7;68871
Видоизмененный углерод;2018;Action Drama Sci-Fi;8.2;8;84325
Лекарство от здоровья;2016;Drama Fantasy Horror;6.4;6;63822
Колесо чудес;2017;Drama;6.2;8;15707
Три билборда на границе Эббинга, Миссури;2017;Comedy Crime Drama;8.2;8;274603
Tirez sur le pianiste;1960;Crime Drama Thriller;7.6;6;14779
История Элли;2009;Drama Mystery Thriller;8.1;7;35306
Эйфория;2017;Adventure Drama;5.8;5;1714
Секретное досье;2017;Biography Drama History;7.2;5;86882
